discussion_id,message_id,discussion_source
d_parent_3dfdd1042c30,m_bd2b3893ac12,parent_link_segment
d_parent_1eda41850690,m_cca254004df5,parent_link_segment
d_parent_07425a5b730e,m_4ea0de4fd378,parent_link_segment
d_parent_902e791f75e3,m_0a181f1c90c6,parent_link_segment
d_parent_1a447e23b152,m_4eebad673f7c,parent_link_segment
d_parent_d25011246b34,m_e43a0f0f7b75,parent_link_segment
d_parent_63524ddc02c6,m_f9959cdd8a6b,parent_link_segment
d_parent_3029777c254c,m_78115a31dd44,parent_link_segment
d_parent_3029777c254c,m_e495d4c7720e,parent_link_segment
d_parent_6fe629798b92,m_8b1eac94b225,parent_link_segment
d_parent_6fe629798b92,m_f8b60a3119af,parent_link_segment
d_parent_8d5dd4acee87,m_f81270d74ab6,parent_link_segment
d_parent_947667befad0,m_1f2c31289a0a,parent_link_segment
d_parent_947667befad0,m_7463c480556a,parent_link_segment
d_parent_84defb700dc6,m_9e60344ce41e,parent_link_segment
d_parent_cf8101f249f9,m_b549517ca97a,parent_link_segment
d_parent_4d8e2724a318,m_f6e275219bec,parent_link_segment
d_parent_224c16ce241a,m_5e4dc795dfc3,parent_link_segment
d_parent_224c16ce241a,m_06bdc15bc1a8,parent_link_segment
d_parent_224c16ce241a,m_277f56e4ca8a,parent_link_segment
d_parent_224c16ce241a,m_2efa117f10db,parent_link_segment
d_parent_224c16ce241a,m_9f7b7af0e9de,parent_link_segment
d_parent_e93a999cea26,m_00af4827c7cc,parent_link_segment
d_parent_f89f65b5b616,m_78645dacd981,parent_link_segment
d_parent_261382411bb8,m_4abd11d9a4a2,parent_link_segment
d_parent_8f23743f8c2d,m_b360a58fe60b,parent_link_segment
d_parent_0736daa0b206,m_52ecaf90abb4,parent_link_segment
d_parent_0736daa0b206,m_f24dcecdbea3,parent_link_segment
d_parent_0736daa0b206,m_7d33d94b2014,parent_link_segment
d_parent_a7e2e18eb1be,m_9d69810a1c5d,parent_link_segment
d_parent_a7e2e18eb1be,m_c3d886073d14,parent_link_segment
d_parent_5c72c647efd1,m_471a44db9549,parent_link_segment
d_parent_5c72c647efd1,m_64ec51c9727f,parent_link_segment
d_parent_aadf3168f6bb,m_66843cbfc375,parent_link_segment
d_parent_4d716463c099,m_3a96fba3faba,parent_link_segment
d_parent_de62fff97711,m_2492a740a227,parent_link_segment
d_parent_1d4536924206,m_e122ba2e75bf,parent_link_segment
d_parent_223562f64596,m_4d91fa1045d5,parent_link_segment
d_parent_223562f64596,m_6b1a20ace0c1,parent_link_segment
d_parent_9a17a545cf08,m_eec66ec62ad8,parent_link_segment
d_parent_9a17a545cf08,m_1dea85e27259,parent_link_segment
d_parent_9a17a545cf08,m_db3089b24d85,parent_link_segment
d_parent_2e360f2c22f1,m_df13aa08448e,parent_link_segment
d_parent_fd7a871112f4,m_611beefa7c16,parent_link_segment
d_parent_933fc0afbfd6,m_32ff3b611bba,parent_link_segment
d_parent_933fc0afbfd6,m_4061dd7b89cd,parent_link_segment
d_parent_933fc0afbfd6,m_9fd6d4bf5502,parent_link_segment
d_parent_933fc0afbfd6,m_f63a114003e9,parent_link_segment
d_parent_933fc0afbfd6,m_d6e83b12d32e,parent_link_segment
d_parent_933fc0afbfd6,m_0468760932c5,parent_link_segment
d_parent_30a95fa3dda5,m_bda46a9c15a1,parent_link_segment
d_parent_eac4e027ad2a,m_edefc9ac8f22,parent_link_segment
d_parent_8e769a9d0ecd,m_96f9a93d61c4,parent_link_segment
d_parent_0dc8f1662d70,m_f234b9ba20c7,parent_link_segment
d_parent_4cd446339210,m_c2f1284a4f30,parent_link_segment
d_parent_c2d8b51d75bb,m_35307cdf6aa5,parent_link_segment
d_parent_67f1d6c6243b,m_99d69f5d3fbb,parent_link_segment
d_parent_67f1d6c6243b,m_ce9d01641fd5,parent_link_segment
d_parent_67f1d6c6243b,m_9970ddbde12f,parent_link_segment
d_parent_97e656fc3669,m_a66411802f73,parent_link_segment
d_parent_3dcc510f2a9d,m_3129e4125832,parent_link_segment
d_parent_a07f0cd0ce0f,m_c45e57663fd0,parent_link_segment
d_parent_5ba99d2a7a84,m_43cae075516c,parent_link_segment
d_parent_3ff0d870a08a,m_9b0cd4d62964,parent_link_segment
d_parent_9648e069376e,m_81548c6b0fcb,parent_link_segment
d_parent_bbd3c9199999,m_4ece2c6410f0,parent_link_segment
d_parent_bbd3c9199999,m_1b1ac14e815b,parent_link_segment
d_parent_9d9a1df6e95a,m_d708b36be4fa,parent_link_segment
d_parent_d6cc2db990aa,m_4678d37704c0,parent_link_segment
d_parent_3e961f54d60f,m_714fb17bfd0d,parent_link_segment
d_parent_12c33ed2139b,m_20f9731c7402,parent_link_segment
d_parent_12c33ed2139b,m_2cf60a7aeccb,parent_link_segment
d_parent_12c33ed2139b,m_604105a833cb,parent_link_segment
d_parent_12c33ed2139b,m_c47b0e4c1b17,parent_link_segment
