event_id,discussion_id
e_00000,d_parent_cd1157f3b47c
e_00006,d_parent_d43b20bbe2c0
e_00007,d_parent_ff3b1235bc8f
e_00008,d_parent_0eea67344785
e_00046,d_parent_85b2ebfdc7e5
e_00008,d_parent_08d43509983f
e_00000,d_parent_7873707194e9
e_00008,d_parent_a381c177f60b
e_00074,d_parent_261e1d7cd9e6
e_00095,d_parent_232bbfe4d2c6
e_00000,d_parent_f710105975aa
e_00104,d_parent_72ba6f51afbb
e_00000,d_parent_ab241a5ce671
e_00000,d_parent_07be3e0de56f
e_00000,d_parent_0b9fd493d32e
e_00095,d_parent_f4f4ebdf7fb3
e_00000,d_parent_31bf37aa0fad
e_00105,d_parent_45491de2d60e
e_00095,d_parent_82235ed1c2ff
e_00000,d_parent_0e7f3141bdbf
e_00000,d_parent_f809534371cc
e_00127,d_parent_43723fb60887
e_00000,d_parent_a0131c17abfb
e_00000,d_parent_64ca7219254d
e_00128,d_parent_f2f0bdb89276
e_00129,d_parent_59d5f5bdabfc
e_00131,d_parent_19897c980788
e_00131,d_parent_4a4037ee19f1
e_00001,d_parent_8e92d1fd4415
e_00096,d_parent_d1c3b946ce91
e_00147,d_parent_3fa8b11c0829
e_00148,d_parent_074137cd51be
e_00096,d_parent_2c9778281bda
e_00096,d_parent_14c5bed5152e
e_00149,d_parent_821c5ef51cb8
e_00001,d_parent_345b7c1d608d
e_00150,d_parent_e01a573ec39d
e_00151,d_parent_f61dffb02174
e_00152,d_parent_ab397188f07b
e_00096,d_parent_db9d85322c3b
e_00153,d_parent_0714b1842d2d
e_00001,d_parent_103c016629ab
e_00096,d_parent_fc474605ad4c
e_00154,d_parent_0de04767f576
e_00155,d_parent_ff37b441bfff
e_00096,d_parent_5c1bb62d30a4
e_00096,d_parent_06ed6e98c9a4
e_00001,d_parent_3e830aab6153
e_00010,d_parent_ea4c8b578d64
e_00096,d_parent_0e58a287ff9b
e_00096,d_parent_8beed78a30df
e_00156,d_parent_414efc0bc01f
e_00047,d_parent_cf2cd23a838c
e_00096,d_parent_b5b720ca114e
e_00132,d_parent_c666f9dae017
e_00096,d_parent_3a5f57c8925d
e_00096,d_parent_13db35016c6f
e_00132,d_parent_5f3046da7337
e_00096,d_parent_7953bd5c5215
e_00075,d_parent_c7a81c93f2c1
e_00157,d_parent_f7196e261b3c
e_00132,d_parent_7604b94e3922
e_00075,d_parent_ed2702fe1bad
e_00096,d_parent_c3b2dc8c4aba
e_00001,d_parent_50245f96249d
e_00158,d_parent_7a61e58a782c
e_00075,d_parent_04e939e9765c
e_00159,d_parent_926a7454a875
e_00160,d_parent_c585e8ef8989
e_00161,d_parent_4b019213f1d6
e_00010,d_parent_a832a97799bd
e_00001,d_parent_6f3c7fae99fd
e_00162,d_parent_912a6e0e8760
e_00163,d_parent_1860c2d96029
e_00132,d_parent_ccb9bfb02677
e_00096,d_parent_899618e9d639
e_00001,d_parent_0a3dadbea555
e_00164,d_parent_5bc0bef55446
e_00048,d_parent_6611f2880ab4
e_00096,d_parent_9956c6ceab31
e_00001,d_parent_d32d3c434b60
e_00132,d_parent_82b796a9fec1
e_00001,d_parent_14eefa6c625e
e_00001,d_parent_8c5bdff5853f
e_00001,d_parent_f5376a048ac5
e_00001,d_parent_c24607471275
e_00165,d_parent_07919f61f53b
e_00132,d_parent_3fb2773ebf3c
e_00001,d_parent_65073e93b9b9
e_00001,d_parent_60a4c449882f
e_00075,d_parent_dc851af50c50
e_00096,d_parent_7717c658971c
e_00166,d_parent_464bb713e8a7
e_00096,d_parent_4034790b271e
e_00167,d_parent_1f56367289f1
e_00168,d_parent_f9d9c5bdfcb2
e_00001,d_parent_6bcd41ea98c9
e_00075,d_parent_28d907c68dd1
e_00001,d_parent_b4c8be963e5b
e_00169,d_parent_624707d5d467
e_00170,d_parent_920818cb5417
e_00171,d_parent_4eaa5804ae35
e_00001,d_parent_60ba85960e7c
e_00096,d_parent_9fa75f2febce
e_00096,d_parent_0d800a104291
e_00001,d_parent_d0bd0c67fee2
e_00172,d_parent_de3fe636688d
e_00096,d_parent_3c05780f0465
e_00010,d_parent_a090fb2281fa
e_00075,d_parent_a79f5667fcf5
e_00001,d_parent_d08a4deebaaa
e_00132,d_parent_5f219c241579
e_00173,d_parent_870e5ad03366
e_00173,d_parent_dc2e75cd2467
e_00001,d_parent_9d50c9be5c92
e_00096,d_parent_0f8f091097bb
e_00001,d_parent_ca4dc4223d1d
e_00174,d_parent_5c9aae6e9be2
e_00096,d_parent_08963368f1f7
e_00096,d_parent_c55ffa8f826a
e_00132,d_parent_8a8956e7490e
e_00001,d_parent_42de9f7ba020
e_00096,d_parent_06aab578f986
e_00096,d_parent_29424872e43b
e_00001,d_parent_b6695c6b9a34
e_00075,d_parent_e88c23db1008
e_00001,d_parent_e2d2d67c8077
e_00175,d_parent_4d086a0aa5ba
e_00096,d_parent_d237af343545
e_00096,d_parent_9742dde24e67
e_00176,d_parent_d556744454e7
e_00132,d_parent_e24127d6e58a
e_00132,d_parent_2c0d648e7d9a
e_00075,d_parent_8f7ed9cc0e97
e_00075,d_parent_6d5c0bd99909
e_00132,d_parent_66d27fdb9de1
e_00010,d_parent_ca814bfcc271
e_00096,d_parent_f3ee9476fe29
e_00177,d_parent_57143bf347d6
e_00001,d_parent_cdb7267cc439
e_00001,d_parent_badddfee67db
e_00096,d_parent_a0e0bb7363ea
e_00178,d_parent_772f4dc7ea90
e_00096,d_parent_4b367244b774
e_00132,d_parent_e35c7ecbca4e
e_01422,d_parent_430c91d4a3b3
e_00001,d_parent_0d0c97c93e3b
e_00179,d_parent_b3d14d23396f
e_00001,d_parent_251a234bd95b
