event_id,event_title,event_summary,main_tag,main_tags,keywords,key_phrases,start_date,end_date,discussion_count,message_count,chat_count,author_count,negative_count,toxic_count,negative_share,toxic_share,importance_score,status,is_hidden
e_01187,"Коэффициенты, приоритет и тарифы","Тема «Коэффициент» обсуждалась с 21.04.2026 12:18 по 22.04.2026 00:05. Внутри: 141 сообщений, 34 чатов, 111 участников. Ключевые сигналы: ближняя подача, пассажир принять, приоритет заказов.",Коэффициент,Коэффициент|Приложение и сбои|Фастен|Яндекс Про|яндекс,кэф|приоритет|фастен|приоритета|заказа|заказов|кэфа,ближняя подача|пассажир принять|приоритет заказов|пропустить приоритет|подача комфорт,2026-04-21 12:18:00,2026-04-22 00:05:00,78,141,34,111,20,1,0.1418,0.0071,25.66,новый,False
e_00881,"Коэффициенты, приоритет и тарифы","Тема «Коэффициент» обсуждалась с 20.04.2026 12:04 по 21.04.2026 02:13. Внутри: 150 сообщений, 30 чатов, 123 участников. Ключевые сигналы: вокзал адлер, ближняя подача, приоритет заказов.",Коэффициент,Коэффициент|Приложение и сбои|Фастен|Яндекс Про|яндекс,приоритет|кэф|фастен|кэфом|комфорт|кэфа|пассажир,вокзал адлер|ближняя подача|приоритет заказов|пассажир принять|подача комфорт,2026-04-20 12:04:00,2026-04-21 02:13:00,83,150,30,123,16,7,0.1067,0.0467,25.5,новый,False
e_01704,"Коэффициенты, приоритет и тарифы","Тема «Коэффициент» обсуждалась с 23.04.2026 12:09 по 23.04.2026 23:59. Внутри: 114 сообщений, 29 чатов, 93 участников. Ключевые сигналы: санкт петербург, пропуск ручном, ручном изменений.",Коэффициент,Коэффициент|Приложение и сбои|Фастен|Яндекс Про|яндекс,кэф|приоритет|санкт|петербург|приоритета|изменений|нас,санкт петербург|пропуск ручном|ручном изменений|изменений отключении|отключении сети,2026-04-23 12:09:00,2026-04-23 23:59:00,70,114,29,93,24,9,0.2105,0.0789,25.13,новый,False
e_01436,"Коэффициенты, приоритет и тарифы","Тема «Коэффициент» обсуждалась с 22.04.2026 12:00 по 23.04.2026 00:04. Внутри: 145 сообщений, 24 чатов, 106 участников. Ключевые сигналы: санкт петербург, ближняя подача, пассажир принять.",Коэффициент,Коэффициент|Приложение и сбои|Фастен|Яндекс Про|яндекс,кэф|улица|санкт|кад|подача|приоритет|пассажир,санкт петербург|ближняя подача|пассажир принять|пропустить приоритет|подача комфорт,2026-04-22 12:00:00,2026-04-23 00:04:00,74,145,24,106,25,7,0.1724,0.0483,25.04,новый,False
e_00116,"Коэффициенты, приоритет и тарифы","Тема «Коэффициент» обсуждалась с 17.04.2026 12:10 по 17.04.2026 23:44. Внутри: 121 сообщений, 30 чатов, 107 участников. Ключевые сигналы: текущий приоритет, пропуск ручном, пропустить приоритет.",Коэффициент,Коэффициент|Приложение и сбои|Фастен|Яндекс Про|яндекс,приоритет|улица|кэф|завершен|приоритета|кэфы|пулково,текущий приоритет|пропуск ручном|пропустить приоритет|изменение приоритета|приоритет пропуск,2026-04-17 12:10:00,2026-04-17 23:44:00,81,121,30,107,14,5,0.1157,0.0413,24.98,новый,False
e_00110,Детские кресла и требования к заказам,"Тема «яндекс» обсуждалась с 17.04.2026 12:23 по 17.04.2026 23:46. Внутри: 82 сообщений, 29 чатов, 77 участников. Ключевые сигналы: детским креслом, сразу легенду, легенду рабочее.",яндекс,яндекс,ящер|яши|минут|кресла|баллов|яше|перед,детским креслом|сразу легенду|легенду рабочее|рабочее место|место тобой,2026-04-17 12:23:00,2026-04-17 23:46:00,74,82,29,77,27,11,0.3293,0.1341,23.91,новый,False
e_00252,Запуск и обсуждение WB Такси,"Тема «WB Такси» обсуждалась с 17.04.2026 20:59 по 18.04.2026 09:55. Внутри: 59 сообщений, 14 чатов, 34 участников. Ключевые сигналы: текст статьи, статьи стало, стало известно.",WB Такси,WB Такси|Забастовка|Законы и налоги|Коэффициент|Приложение и сбои|Яндекс Про|яндекс,wildberries|проект|запуск|компании|рынок|агрегатора|удалось,текст статьи|статьи стало|стало известно|известно редакции|редакции амбициозный,2026-04-17 20:59:00,2026-04-18 09:55:00,17,59,14,34,15,1,0.2542,0.0169,23.85,новый,False
e_01634,"Коэффициенты, приоритет и тарифы","Тема «Коэффициент» обсуждалась с 23.04.2026 02:32 по 23.04.2026 11:54. Внутри: 100 сообщений, 22 чатов, 82 участников. Ключевые сигналы: нажимаете кнопку, ближняя подача, кэф горит.",Коэффициент,Коэффициент|Приложение и сбои|Фастен|Яндекс Про|яндекс,кэф|кэфы|приоритет|приоритета|фастен|нажимаете|кэфа,нажимаете кнопку|ближняя подача|кэф горит|пропустить приоритет|кэф пропал,2026-04-23 02:32:00,2026-04-23 11:54:00,56,100,22,82,12,3,0.12,0.03,23.64,новый,False
e_00888,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 20.04.2026 12:00 по 20.04.2026 23:59. Внутри: 81 сообщений, 33 чатов, 80 участников. Ключевые сигналы: акционеры утвердили, утвердили дивиденды, дивиденды акцию.",яндекс,яндекс,яши|yandex|равно|года|три|учитывает|лет,акционеры утвердили|утвердили дивиденды|дивиденды акцию|такую брал|брал районе,2026-04-20 12:00:00,2026-04-20 23:59:00,77,81,33,80,16,8,0.1975,0.0988,23.63,новый,False
e_01461,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 22.04.2026 13:22 по 22.04.2026 23:37. Внутри: 79 сообщений, 29 чатов, 74 участников. Ключевые сигналы: делегация конкуренты, конкуренты максимовцы, променяешь газель.",яндекс,яндекс,яши|заказов|цели|твой|факту|лиговский|ulitsa,делегация конкуренты|конкуренты максимовцы|променяешь газель|газель твой|твой зарплатой,2026-04-22 13:22:00,2026-04-22 23:37:00,70,79,29,74,15,6,0.1899,0.0759,23.13,новый,False
e_00352,"Коэффициенты, приоритет и тарифы","Тема «Коэффициент» обсуждалась с 18.04.2026 12:03 по 18.04.2026 21:13. Внутри: 74 сообщений, 22 чатов, 70 участников. Ключевые сигналы: ближняя подача, пропустить приоритет, пассажир принять.",Коэффициент,Коэффициент|Приложение и сбои|Фастен|Яндекс Про|яндекс,кэф|приоритет|кэфы|приоритета|улица|пропустить|ближняя,ближняя подача|пропустить приоритет|пассажир принять|откуда кэф|кэф спрашиваешь,2026-04-18 12:03:00,2026-04-18 21:13:00,60,74,22,70,9,4,0.1216,0.0541,22.98,новый,False
e_00300,"Коэффициенты, приоритет и тарифы","Тема «Коэффициент» обсуждалась с 18.04.2026 02:35 по 18.04.2026 12:09. Внутри: 67 сообщений, 22 чатов, 59 участников. Ключевые сигналы: санкт петербург, ближняя подача, пассажир принять.",Коэффициент,Коэффициент|Приложение и сбои|Фастен|Яндекс Про|яндекс,приоритет|кэф|комфорт|улица|подача|тариф|кэфы,санкт петербург|ближняя подача|пассажир принять|подача комфорт|новая фишка,2026-04-18 02:35:00,2026-04-18 12:09:00,45,67,22,59,14,3,0.209,0.0448,22.98,новый,False
e_01120,"Коэффициенты, приоритет и тарифы","Тема «Коэффициент» обсуждалась с 21.04.2026 05:37 по 21.04.2026 11:35. Внутри: 65 сообщений, 21 чатов, 59 участников. Ключевые сигналы: ближняя подача, пассажир принять, подача комфорт.",Коэффициент,Коэффициент|Приложение и сбои|Фастен|Яндекс Про|яндекс,приоритет|кэф|разница|подача|принять|ближняя|комфорт,ближняя подача|пассажир принять|подача комфорт|баллы приоритета|кэф горит,2026-04-21 05:37:00,2026-04-21 11:35:00,44,65,21,59,11,6,0.1692,0.0923,22.74,новый,False
e_00804,"Коэффициенты, приоритет и тарифы","Тема «Коэффициент» обсуждалась с 20.04.2026 05:38 по 20.04.2026 12:06. Внутри: 75 сообщений, 21 чатов, 60 участников. Ключевые сигналы: пропустить приоритет, ближняя подача, нихуя любимые.",Коэффициент,Коэффициент|Фастен|яндекс,кэф|приоритет|фастен|улица|приоритета|приоритетом|горит,пропустить приоритет|ближняя подача|нихуя любимые|любимые кроме|кроме моего,2026-04-20 05:38:00,2026-04-20 12:06:00,44,75,21,60,12,5,0.16,0.0667,22.45,новый,False
e_01703,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 23.04.2026 12:08 по 23.04.2026 23:23. Внутри: 69 сообщений, 25 чатов, 67 участников. Ключевые сигналы: заказов версии, версии яши, яши заказов.",яндекс,яндекс,яши|заказов|яшу|ценник|процент|заказа|состоялись,заказов версии|версии яши|яши заказов|заказов выше|выше доход,2026-04-23 12:08:00,2026-04-23 23:23:00,65,69,25,67,12,8,0.1739,0.1159,22.45,новый,False
